_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
661347a5f4fbdd687498a9b7,null,"$87,207,000 ","1,341",-,17-Dec,-,The Lord of the Rings: The Return of the King,2003,DE
661347a5f4fbdd687498a9b8,null,"$53,926,684 ","1,049",-,20-Nov,-,Finding Nemo,2003,DE
661347a5f4fbdd687498a9b9,"[ ""Buena Vista International"" ]","$44,650,393 ",959,-,2-Sep,-,Pirates of the Caribbean: The Curse of the Black Pearl,2003,DE
661347a5f4fbdd687498a9ba,null,"$41,451,777 ",606,-,13-Feb,-,Good Bye Lenin!,2003,DE
661347a5f4fbdd687498a9bb,null,"$35,148,026 ","1,127",-,22-May,-,The Matrix Reloaded,2003,DE
661347a5f4fbdd687498a9bc,null,"$24,755,156 ",644,-,16-Oct,-,The Miracle of Bern,2003,DE
661347a5f4fbdd687498a9bd,null,"$23,237,473 ",750,-,30-Jan,-,Catch Me If You Can,2003,DE
661347a5f4fbdd687498a9be,null,"$21,078,402 ",699,-,12-Jun,-,Bruce Almighty,2003,DE
661347a5f4fbdd687498a9bf,null,"$20,864,008 ",808,-,10-Apr,-,Johnny English,2003,DE
661347a5f4fbdd687498a9c0,null,"$19,596,608 ",886,-,31-Jul,-,Terminator 3: Rise of the Machines,2003,DE
661347a5f4fbdd687498a9c1,null,"$19,207,661 ",417,-,30-Oct,-,Luther,2003,DE
661347a5f4fbdd687498a9c2,null,"$18,745,370 ",678,-,21-Aug,-,American Wedding,2003,DE
661347a5f4fbdd687498a9c3,null,"$17,187,276 ",590,-,2-Jan,-,8 Mile,2003,DE
661347a5f4fbdd687498a9c4,null,"$16,198,045 ","1,071",-,6-Nov,-,The Matrix Revolutions,2003,DE
661347a5f4fbdd687498a9c5,null,"$15,698,891 ",907,-,1-May,-,X2,2003,DE
661347a5f4fbdd687498a9c6,null,"$15,507,237 ",788,-,9-Oct,-,Bad Boys II,2003,DE
661347a5f4fbdd687498a9c7,null,"$15,015,240 ",716,-,13-Feb,-,Two Weeks Notice,2003,DE
661347a5f4fbdd687498a9c8,null,"$14,402,665 ",557,-,20-Nov,-,Love Actually,2003,DE
661347a5f4fbdd687498a9c9,null,"$13,794,792 ",668,-,27-Mar,-,The Jungle Book 2,2003,DE
661347a5f4fbdd687498a9ca,null,"$12,234,875 ",474,-,23-Jan,-,My Big Fat Greek Wedding,2003,DE
661347a5f4fbdd687498a9cb,null,"$12,052,361 ",719,-,2-Oct,-,The League of Extraordinary Gentlemen,2003,DE
661347a5f4fbdd687498a9cc,null,"$11,042,167 ",845,-,10-Jul,-,Charlie's Angels: Full Throttle,2003,DE
661347a5f4fbdd687498a9cd,null,"$10,384,413 ",526,-,19-Jun,-,2 Fast 2 Furious,2003,DE
661347a5f4fbdd687498a9ce,null,"$9,709,364 ",429,-,17-Apr,-,How to Lose a Guy in 10 Days,2003,DE
661347a5f4fbdd687498a9cf,null,"$9,634,990 ",863,-,8-May,-,Anger Management,2003,DE
661347a5f4fbdd687498a9d0,null,"$9,429,215 ",854,-,6-Mar,-,Maid in Manhattan,2003,DE
661347a5f4fbdd687498a9d1,null,"$8,911,639 ",361,-,25-Dec,-,Honey,2003,DE
661347a5f4fbdd687498a9d2,null,"$8,809,812 ",362,-,23-Oct,-,Intolerable Cruelty,2003,DE
661347a5f4fbdd687498a9d3,null,"$8,513,820 ",587,-,16-Jan,-,The Flying Classroom,2003,DE
661347a5f4fbdd687498a9d4,null,"$8,432,199 ",622,-,16-Oct,-,Kill Bill: Vol. 1,2003,DE
661347a5f4fbdd687498a9d5,null,"$8,284,148 ",753,-,16-Jan,-,Star Trek: Nemesis,2003,DE
661347a5f4fbdd687498a9d6,null,"$8,283,451 ",699,-,14-Aug,-,Daddy Day Care,2003,DE
661347a5f4fbdd687498a9d7,null,"$6,914,873 ",802,-,14-Aug,-,Lara Croft: Tomb Raider - The Cradle of Life,2003,DE
661347a5f4fbdd687498a9d8,null,"$6,599,070 ",379,-,20-Feb,-,Gangs of New York,2003,DE
661347a5f4fbdd687498a9d9,null,"$6,473,138 ",612,-,4-Dec,-,S.W.A.T.,2003,DE
661347a5f4fbdd687498a9da,null,"$6,328,538 ",347,-,13-Feb,-,The Ring,2003,DE
661347a5f4fbdd687498a9db,null,"$6,273,379 ",562,-,11-Dec,-,Sams in Gefahr,2003,DE
661347a5f4fbdd687498a9dc,null,"$6,213,208 ",651,-,17-Jul,-,Werner - Gekotzt wird später!,2003,DE
661347a5f4fbdd687498a9dd,null,"$6,063,827 ",489,-,11-Dec,-,Freaky Friday,2003,DE
661347a5f4fbdd687498a9de,null,"$6,008,488 ",129,-,6-Mar,-,Frida,2003,DE
