_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
661348cdadf82b7dc380fa57,null,"$36,147,137 ",425,-,1-Dec,-,How the Grinch Stole Christmas,2000,GB
661348cdadf82b7dc380fa58,null,"$34,685,955 ",-,-,28-Jan,-,American Beauty,2000,GB
661348cdadf82b7dc380fa59,null,"$26,373,540 ",-,-,7-Jul,-,Mission: Impossible II,2000,GB
661348cdadf82b7dc380fa5a,null,"$25,233,762 ",103,-,29-Sep,-,Billy Elliot,2000,GB
661348cdadf82b7dc380fa5b,null,"$22,186,479 ",-,-,18-Aug,-,X-Men,2000,GB
661348cdadf82b7dc380fa5c,null,"$21,589,963 ",409,-,15-Dec,-,Meet the Parents,2000,GB
661348cdadf82b7dc380fa5d,null,"$15,580,935 ",-,-,19-May,-,Final Destination,2000,GB
661348cdadf82b7dc380fa5e,null,"$92,041,188 ",513,501,18-Dec,"$20,921,781 ",The Lord of the Rings: The Two Towers,2002,GB
661348cdadf82b7dc380fa5f,null,"$88,104,108 ",530,524,15-Nov,"$29,810,019 ",Harry Potter and the Chamber of Secrets,2002,GB
661348cdadf82b7dc380fa60,null,"$59,182,873 ",467,430,22-Nov,"$14,294,312 ",Die Another Day,2002,GB
661348cdadf82b7dc380fa61,null,"$58,762,764 ",471,467,16-May,"$16,595,553 ",Star Wars: Episode II - Attack of the Clones,2002,GB
661348cdadf82b7dc380fa62,null,"$45,780,340 ",509,509,14-Jun,"$13,926,679 ",Spider-Man,2002,GB
661348cdadf82b7dc380fa63,null,"$36,288,585 ",446,446,26-Jul,"$8,745,856 ",Austin Powers in Goldmember,2002,GB
661348cdadf82b7dc380fa64,null,"$35,757,096 ",439,433,15-Feb,"$7,278,660 ",Ocean's Eleven,2002,GB
661348cdadf82b7dc380fa65,null,"$34,571,702 ",512,512,2-Aug,"$9,526,300 ",Men in Black II,2002,GB
661348cdadf82b7dc380fa66,null,"$33,495,591 ",474,472,12-Jul,"$8,031,714 ",Scooby-Doo,2002,GB
661348cdadf82b7dc380fa67,null,"$31,388,860 ",426,426,5-Jul,"$6,918,317 ",Minority Report,2002,GB
661348cdadf82b7dc380fa68,null,"$25,993,706 ",354,1,26-Dec,"$181,737 ",Chicago,2002,GB
661348cdadf82b7dc380fa69,null,"$25,004,129 ",443,443,13-Sep,"$5,878,785 ",Signs,2002,GB
661348cdadf82b7dc380fa6a,null,"$24,977,592 ",453,446,26-Apr,"$5,469,248 ",About a Boy,2002,GB
661348cdadf82b7dc380fa6b,null,"$20,072,600 ",485,280,4-Oct,"$2,372,178 ",Lilo & Stitch,2002,GB
661348cdadf82b7dc380fa6c,null,"$17,885,941 ",439,435,18-Oct,"$5,296,334 ",xXx,2002,GB
661348cdadf82b7dc380fa6d,null,"$17,134,111 ",476,473,19-Jul,"$2,122,842 ",Stuart Little 2,2002,GB
661348cdadf82b7dc380fa6e,"[ ""Entertainment Studios Motion Pictures"" ]","$16,948,417 ",230,156,1-Feb,"$1,188,451 ",Gosford Park,2002,GB
661348cdadf82b7dc380fa6f,null,"$16,589,164 ",386,384,12-Apr,"$2,877,217 ",Bend It Like Beckham,2002,GB
661348cdadf82b7dc380fa70,null,"$15,032,199 ",436,428,11-Oct,"$4,939,605 ",Red Dragon,2002,GB
661348cdadf82b7dc380fa71,null,"$14,841,786 ",396,396,22-Mar,"$4,607,461 ",Ali G Indahouse,2002,GB
661348ceadf82b7dc380fa72,null,"$13,165,653 ",348,345,29-Mar,"$3,659,704 ",Blade II,2002,GB
661348ceadf82b7dc380fa73,null,"$13,081,296 ",427,425,25-Jan,"$4,191,904 ",Vanilla Sky,2002,GB
661348ceadf82b7dc380fa74,null,"$12,634,008 ",389,362,29-Nov,"$1,481,790 ",The Santa Clause 2,2002,GB
661348ceadf82b7dc380fa75,null,"$12,357,295 ",419,419,6-Sep,"$3,355,455 ",The Bourne Identity,2002,GB
661348ceadf82b7dc380fa76,null,"$12,117,419 ",424,424,3-May,"$2,968,536 ",Panic Room,2002,GB
661348ceadf82b7dc380fa77,null,"$11,566,132 ",379,24,22-Feb,"$266,573 ",A Beautiful Mind,2002,GB
661348ceadf82b7dc380fa78,null,"$10,126,228 ",371,368,23-Aug,"$2,322,538 ",The Guru,2002,GB
661348ceadf82b7dc380fa79,null,"$8,708,667 ",340,337,20-Dec,"$1,214,393 ",Sweet Home Alabama,2002,GB
661348ceadf82b7dc380fa7a,null,"$8,104,905 ",422,409,16-Aug,"$1,640,896 ",Spy Kids 2: Island of Lost Dreams,2002,GB
661348ceadf82b7dc380fa7b,null,"$8,091,924 ",406,406,18-Jan,"$2,546,494 ",Black Hawk Down,2002,GB
661348ceadf82b7dc380fa7c,null,"$7,994,530 ",284,284,1-Feb,"$1,813,099 ",Shallow Hal,2002,GB
661348ceadf82b7dc380fa7d,null,"$7,871,664 ",268,264,30-Aug,"$1,798,068 ",Insomnia,2002,GB
661348ceadf82b7dc380fa7e,null,"$7,717,740 ",324,324,31-May,"$1,502,417 ",40 Days and 40 Nights,2002,GB
661348ceadf82b7dc380fa7f,null,"$7,374,651 ",408,408,19-Apr,"$2,331,781 ",The Scorpion King,2002,GB
661348ceadf82b7dc380fa80,null,"$7,003,679 ",366,346,16-Aug,"$1,761,584 ",The Sum of All Fears,2002,GB
661348ceadf82b7dc380fa81,null,"$6,369,100 ",349,292,11-Jan,"$1,456,207 ",Rat Race,2002,GB
661348ceadf82b7dc380fa82,null,"$6,227,355 ",330,17,15-Feb,"$179,390 ",Ali,2002,GB
661348ceadf82b7dc380fa83,null,"$5,919,318 ",307,293,1-Nov,"$1,367,120 ",Mr. Deeds,2002,GB
661348ceadf82b7dc380fa84,null,"$5,681,962 ",356,356,31-May,"$1,181,942 ",The Time Machine,2002,GB
661348ceadf82b7dc380fa85,null,"$5,653,287 ",300,288,7-Jun,"$1,138,746 ",Unfaithful,2002,GB
661348ceadf82b7dc380fa86,null,"$5,337,218 ",370,370,22-Mar,"$522,026 ",Return to Never Land,2002,GB
661348ceadf82b7dc380fa87,null,"$5,200,178 ",198,84,18-Jan,"$544,008 ",Iris,2002,GB
661348ceadf82b7dc380fa88,null,"$5,124,169 ",400,400,9-Aug,"$1,572,639 ",Eight Legged Freaks,2002,GB
661348ceadf82b7dc380fa89,null,"$5,018,894 ",365,365,23-Aug,"$1,422,056 ",Reign of Fire,2002,GB
661348ceadf82b7dc380fa8a,null,"$4,750,926 ",224,215,6-Sep,"$865,054 ",The Importance of Being Earnest,2002,GB
661348ceadf82b7dc380fa8b,null,"$4,442,739 ",313,313,31-May,"$484,585 ",Snow Dogs,2002,GB
661348ceadf82b7dc380fa8c,null,"$4,395,522 ",311,311,1-Nov,"$1,256,479 ",Changing Lanes,2002,GB
661348ceadf82b7dc380fa8d,null,"$4,096,015 ",268,264,12-Jul,"$1,255,191 ",Resident Evil,2002,GB
661348ceadf82b7dc380fa8e,null,"$4,005,652 ",266,255,4-Oct,"$1,313,610 ",My Little Eye,2002,GB
661348ceadf82b7dc380fa8f,null,"$3,827,447 ",159,159,15-Mar,"$998,097 ",The Royal Tenenbaums,2002,GB
661348ceadf82b7dc380fa90,null,"$3,809,270 ",320,319,4-Jan,"$1,300,109 ",Behind Enemy Lines,2002,GB
661348ceadf82b7dc380fa91,null,"$3,664,705 ",250,-,8-Jan,-,From Hell,2002,GB
661348ceadf82b7dc380fa92,null,"$3,614,824 ",385,384,22-Mar,"$769,000 ",Jimmy Neutron: Boy Genius,2002,GB
661348ceadf82b7dc380fa93,null,"$3,601,969 ",384,384,5-Jul,"$1,104,890 ",Spirit: Stallion of the Cimarron,2002,GB
661348ceadf82b7dc380fa94,null,"$3,583,605 ",175,173,7-Jun,"$710,157 ",Monster's Ball,2002,GB
661348ceadf82b7dc380fa95,null,"$3,483,727 ",325,325,28-Jun,"$1,111,361 ",Murder by Numbers,2002,GB
661348ceadf82b7dc380fa96,null,"$3,370,167 ",307,307,30-Aug,"$918,995 ",The Sweetest Thing,2002,GB
661348ceadf82b7dc380fa97,null,"$3,318,128 ",51,-,25-Oct,-,The Magdalene Sisters,2002,GB
661348ceadf82b7dc380fa98,null,"$3,227,727 ",267,266,26-Apr,"$1,145,303 ",Joy Ride,2002,GB
661348ceadf82b7dc380fa99,null,"$2,965,727 ",384,384,8-Mar,"$1,077,759 ",We Were Soldiers,2002,GB
661348ceadf82b7dc380fa9a,null,"$2,921,795 ",313,313,29-Mar,"$669,995 ",E.T. the Extra-Terrestrial,2002,GB
661348ceadf82b7dc380fa9b,null,"$2,835,937 ",360,356,24-May,"$627,650 ",Thunderpants,2002,GB
661348ceadf82b7dc380fa9c,null,"$2,811,156 ",226,226,22-Nov,"$710,792 ",Anita & Me,2002,GB
661348ceadf82b7dc380fa9d,null,"$2,791,671 ",116,97,29-Nov,"$374,517 ",The Quiet American,2002,GB
661348ceadf82b7dc380fa9e,null,"$2,774,913 ",264,-,1-Jan,-,Training Day,2002,GB
661348ceadf82b7dc380fa9f,null,"$2,641,044 ",289,280,15-Mar,"$1,082,341 ",Thir13en Ghosts,2002,GB
661348ceadf82b7dc380faa0,null,"$2,635,382 ",338,338,27-Sep,"$1,111,311 ",National Lampoon's Van Wilder,2002,GB
661348ceadf82b7dc380faa1,null,"$2,562,448 ",233,233,18-Jan,"$833,769 ",Long Time Dead,2002,GB
661348ceadf82b7dc380faa2,null,"$2,538,825 ",86,54,12-Jul,"$730,243 ",Devdas,2002,GB
