_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
6613477c20c516ce485ceec1,"[ ""Deltamac Co."" ]","$4,983,077 ",53,-,18-Dec,-,The Lord of the Rings: The Return of the King,2003,HK
6613477c20c516ce485ceec2,null,"$4,675,113 ",-,-,22-Jun,-,Mission: Impossible II,2000,HK
6613477c20c516ce485ceec3,"[ ""Intercontinental Film Distributors (HK)"" ]","$4,084,033 ",58,-,17-Jul,-,Finding Nemo,2003,HK
6613477c20c516ce485ceec4,null,"$1,586,239 ",-,-,3-Aug,-,X-Men,2000,HK
6613477c20c516ce485ceec5,"[ ""Media Asia Distribution"" ]","$3,865,758 ",104,-,11-Dec,-,Infernal Affairs III,2003,HK
6613477c20c516ce485ceec6,"[ ""United International Pictures"" ]","$1,228,209 ",-,-,25-May,-,Gladiator,2000,HK
6613477c20c516ce485ceec7,"[ ""Emperor Motion Pictures"" ]","$3,644,097 ",53,-,19-Jun,-,The Twins Effect,2003,HK
6613477c20c516ce485ceec8,null,"$730,456 ",-,-,15-Jun,-,Final Destination,2000,HK
6613477c20c516ce485ceec9,null,"$3,367,646 ",52,-,25-Sep,-,Running on Karma,2003,HK
6613477c20c516ce485ceeca,"[ ""Media Asia Distribution"" ]","$3,194,310 ",68,-,1-Oct,-,Infernal Affairs II,2003,HK
6613477c20c516ce485ceecb,null,"$3,031,897 ",-,-,9-Jan,-,The Lord of the Rings: The Two Towers,2003,HK
6613477c20c516ce485ceecc,"[ ""Mei Ah Entertainment"" ]","$2,777,624 ",47,-,3-Jul,-,Love Undercover 2: Love Mission,2003,HK
6613477c20c516ce485ceecd,null,"$2,724,704 ",-,-,30-Jan,-,Catch Me If You Can,2003,HK
6613477c20c516ce485ceece,null,"$2,552,511 ",44,-,24-Jul,-,"Good Times, Bed Times",2003,HK
6613477c20c516ce485ceecf,"[ ""Warner Bros."" ]","$2,300,506 ",67,-,5-Nov,-,The Matrix Revolutions,2003,HK
6613477c20c516ce485ceed0,"[ ""Sony Pictures Releasing"" ]","$2,291,969 ",62,-,10-Jul,-,Terminator 3: Rise of the Machines,2003,HK
6613477c20c516ce485ceed1,"[ ""United International Pictures"" ]","$2,134,552 ",14,-,5-Jun,-,Bruce Almighty,2003,HK
6613477c20c516ce485ceed2,"[ ""Grand China Movies Ltd."" ]","$2,080,428 ",38,-,21-Aug,-,Dragon Loaded 2003,2003,HK
6613477c20c516ce485ceed3,null,"$1,986,486 ",42,-,20-Nov,-,Lost in Time,2003,HK
6613477c20c516ce485ceed4,null,"$1,820,023 ",-,-,30-Apr,-,X2,2003,HK
6613477c20c516ce485ceed5,null,"$1,819,104 ",40,-,18-Dec,-,Sound of Colors,2003,HK
6613477c20c516ce485ceed6,"[ ""Warner Bros."" ]","$1,781,404 ",37,-,11-Sep,-,"Turn Left, Turn Right",2003,HK
6613477c20c516ce485ceed7,"[ ""United International Pictures"" ]","$1,646,974 ",44,-,31-Jul,-,Lara Croft: Tomb Raider - The Cradle of Life,2003,HK
6613477c20c516ce485ceed8,null,"$1,551,436 ",-,-,17-Apr,-,Johnny English,2003,HK
6613477c20c516ce485ceed9,"[ ""Mei Ah Entertainment"" ]","$1,388,974 ",37,-,11-Sep,-,Men Suddenly in Black,2003,HK
6613477c20c516ce485ceeda,"[ ""United International Pictures"" ]","$1,322,540 ",25,-,4-Dec,-,Love Actually,2003,HK
6613477c20c516ce485ceedb,"[ ""UGC-Fox Distribution (UFD)"" ]","$1,295,601 ",38,-,6-Nov,-,The Death Curse,2003,HK
6613477c20c516ce485ceedc,"[ ""Universe Films Distribution Company"" ]","$1,292,983 ",33,-,24-Dec,-,Anna in Kung-Fu Land,2003,HK
6613477c20c516ce485ceedd,"[ ""Go Film Distribution"" ]","$1,273,571 ",26,-,24-Dec,-,Golden Chicken 2,2003,HK
6613477c20c516ce485ceede,"[ ""Intercontinental Film Distributors (HK)"" ]","$1,260,924 ",35,-,21-Aug,-,Pirates of the Caribbean: The Curse of the Black Pearl,2003,HK
6613477c20c516ce485ceedf,"[ ""United International Pictures"" ]","$1,182,727 ",29,-,19-Jun,-,Hulk,2003,HK
6613477c20c516ce485ceee0,null,"$1,068,645 ",40,-,31-Jul,-,Heroic Duo,2003,HK
6613477c20c516ce485ceee1,null,"$1,053,325 ",29,-,30-Oct,-,Naked Ambition,2003,HK
6613477c20c516ce485ceee2,null,"$1,027,515 ",-,-,23-Jan,-,Love for All Seasons,2003,HK
6613477c20c516ce485ceee3,"[ ""Filmko Films Distribution"" ]","$974,598 ",5,-,5-Jun,-,Truth or Dare: 6th Floor Rear Flat,2003,HK
6613477c20c516ce485ceee4,"[ ""Emperor Motion Pictures"" ]","$929,544 ",38,-,14-Aug,-,The Medallion,2003,HK
6613477c20c516ce485ceee5,"[ ""S&W Entertainment Limited"" ]","$834,699 ",7,-,20-Jun,-,Colour of the Truth,2003,HK
6613477c20c516ce485ceee6,"[ ""20th Century Fox International"" ]","$735,745 ",31,-,4-Sep,-,The League of Extraordinary Gentlemen,2003,HK
6613477c20c516ce485ceee7,"[ ""Sony Pictures Releasing"" ]","$734,322 ",32,-,26-Jun,-,Charlie's Angels: Full Throttle,2003,HK
6613477c20c516ce485ceee8,"[ ""Intercontinental Film Distributors (HK)"" ]","$731,754 ",19,-,18-Dec,-,The Haunted Mansion,2003,HK
6613477c20c516ce485ceee9,"[ ""Golden Scene"" ]","$702,171 ",24,-,28-Aug,-,Spy Kids 3: Game Over,2003,HK
6613477c20c516ce485ceeea,"[ ""S&W Entertainment Limited"" ]","$695,909 ",32,-,23-Oct,-,The Spy Dad,2003,HK
6613477c20c516ce485ceeeb,"[ ""Edko Films"" ]","$686,689 ",18,-,7-Aug,-,The Classic,2003,HK
6613477c20c516ce485ceeec,"[ ""Golden Scene"" ]","$588,075 ",29,-,24-Jul,-,Iron Ladies 2,2003,HK
6613477c20c516ce485ceeed,"[ ""Panasia Films"" ]","$545,887 ",33,-,16-Oct,-,Kill Bill: Vol. 1,2003,HK
6613477c20c516ce485ceeee,null,"$529,322 ",-,-,9-Jan,-,Black Mask 2: City of Masks,2003,HK
6613477c20c516ce485ceeef,null,"$451,609 ",-,-,20-Feb,-,Final Destination 2,2003,HK
6613477c20c516ce485ceef0,"[ ""Sony Pictures Releasing"" ]","$450,475 ",36,-,18-Sep,-,S.W.A.T.,2003,HK
6613477c20c516ce485ceef1,"[ ""Filmko Films Distribution"" ]","$430,260 ",31,-,27-Nov,-,Star Runner,2003,HK
6613477c20c516ce485ceef2,"[ ""Intercontinental Film Distributors (HK)"" ]","$429,132 ",26,-,14-Aug,-,Battle Royale II,2003,HK
6613477c20c516ce485ceef3,"[ ""Golden Scene"" ]","$427,872 ",26,-,20-Nov,-,Scary Movie 3,2003,HK
6613477c20c516ce485ceef4,"[ ""Filmko Films Distribution"" ]","$407,636 ",23,-,16-Oct,-,The Floating Landscape,2003,HK
6613477c20c516ce485ceef5,null,"$397,898 ",-,-,3-Apr,-,The Core,2003,HK
6613477c20c516ce485ceef6,"[ ""Media Suits"" ]","$382,206 ",30,-,23-Oct,-,The Park,2003,HK
6613477c20c516ce485ceef7,"[ ""Edko Films"" ]","$361,988 ",17,-,23-Oct,-,Crazy First Love,2003,HK
6613477c20c516ce485ceef8,null,"$356,959 ",-,-,2-Jan,-,8 Mile,2003,HK
6613477c20c516ce485ceef9,"[ ""Edko Films"" ]","$302,383 ",24,-,30-Oct,-,Freddy vs. Jason,2003,HK
6613477c20c516ce485ceefa,null,"$301,202 ",-,-,8-May,-,How to Lose a Guy in 10 Days,2003,HK
6613477c20c516ce485ceefb,"[ ""Pro Vision"" ]","$300,219 ",28,-,23-Oct,-,American Wedding,2003,HK
6613477c20c516ce485ceefc,null,"$280,589 ",-,-,16-Jan,"$204,858 ",Phone,2003,HK
6613477c20c516ce485ceefd,"[ ""United International Pictures"" ]","$236,276 ",26,-,4-Sep,-,The Italian Job,2003,HK
6613477c20c516ce485ceefe,"[ ""CJ Entertainment"" ]","$235,896 ",23,-,14-Aug,-,Sinbad: Legend of the Seven Seas,2003,HK
6613477c20c516ce485ceeff,"[ ""Golden Scene"" ]","$233,643 ",17,-,21-Aug,-,A Tale of Two Sisters,2003,HK
6613477c20c516ce485cef00,"[ ""Golden Scene"" ]","$223,710 ",25,-,27-Nov,-,Underworld,2003,HK
6613477c20c516ce485cef01,null,"$215,480 ",-,-,29-Jan,-,Die Another Day,2003,HK
6613477c20c516ce485cef02,"[ ""United International Pictures"" ]","$206,323 ",17,-,18-Sep,-,2 Fast 2 Furious,2003,HK
6613477c20c516ce485cef03,"[ ""Intercontinental Film Distributors (HK)"" ]","$203,666 ",8,-,9-Oct,-,Seabiscuit,2003,HK
6613477c20c516ce485cef04,"[ ""Sony Pictures Releasing"" ]","$203,479 ",30,-,28-Aug,-,Bad Boys II,2003,HK
6613477c20c516ce485cef05,"[ ""UGC-Fox Distribution (UFD)"" ]","$198,373 ",29,-,17-Jul,-,My Dream Girl,2003,HK
6613477c20c516ce485cef06,"[ ""Edko Films"" ]","$192,353 ",19,-,28-Aug,-,My Tutor Friend,2003,HK
6613477c20c516ce485cef07,"[ ""United International Pictures"" ]","$182,489 ",14,-,20-Nov,-,Intolerable Cruelty,2003,HK
6613477c20c516ce485cef08,null,"$173,478 ",-,-,6-Mar,-,About Schmidt,2003,HK
6613477c20c516ce485cef09,"[ ""20th Century Fox International"" ]","$169,668 ",14,-,13-Nov,-,28 Days Later,2003,HK
6613477c20c516ce485cef0a,"[ ""Edko Films"" ]","$151,379 ",1,-,13-Nov,-,Good Bye Lenin!,2003,HK
6613477c20c516ce485cef0b,"[ ""Sony Pictures Releasing"" ]","$147,098 ",21,-,4-Dec,-,The Rundown,2003,HK
6613477c20c516ce485cef0c,"[ ""Lark Films Distribution"" ]","$146,599 ",19,-,18-Dec,-,Lao fu zi dong hua da dian ying: Fan dou shen tan,2003,HK
6613477c20c516ce485cef0d,"[ ""Lark Films Distribution"" ]","$117,222 ",17,-,7-Aug,-,The In-Laws,2003,HK
