_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
66134824b8295afa0048a269,null,"$7,221,061 ",-,-,30-Apr,-,Main Hoon Na,2004,IN
66134824b8295afa0048a26a,null,"$6,811,820 ",-,-,27-Aug,"$1,254,580 ",Dhoom,2004,IN
66134824b8295afa0048a26b,null,"$6,566,330 ",-,-,23-Jul,-,Spider-Man 2,2004,IN
66134824b8295afa0048a26c,null,"$5,864,815 ",-,-,30-Jul,-,Mujhse Shaadi Karogi,2004,IN
66134824b8295afa0048a26d,null,"$4,261,984 ",-,-,27-Aug,-,Anacondas: The Hunt for the Blood Orchid,2004,IN
66134824b8295afa0048a26e,null,"$3,923,500 ",-,-,10-Dec,"$1,130,900 ",Musafir,2004,IN
66134824b8295afa0048a26f,null,"$2,300,000 ",-,-,4-Jun,-,Harry Potter and the Prisoner of Azkaban,2004,IN
66134824b8295afa0048a270,null,"$2,291,731 ",-,-,24-Dec,-,Ab Tumhare Hawale Watan Saathiyo,2004,IN
66134824b8295afa0048a271,null,"$2,231,758 ",-,-,28-May,-,The Day After Tomorrow,2004,IN
66134824b8295afa0048a272,null,"$1,448,204 ",-,-,2-Jul,-,Van Helsing,2004,IN
66134824b8295afa0048a273,null,"$1,170,981 ",-,-,26-Nov,-,Resident Evil: Apocalypse,2004,IN
66134824b8295afa0048a274,null,"$1,049,989 ",-,-,12-Nov,"$338,833 ",Naach,2004,IN
66134824b8295afa0048a275,null,"$944,651 ",-,-,8-Feb,-,The Lord of the Rings: The Return of the King,2004,IN
66134824b8295afa0048a276,null,"$774,705 ",-,-,14-May,-,Hellboy,2004,IN
66134824b8295afa0048a277,null,"$750,000 ",-,-,17-Dec,-,The Incredibles,2004,IN
66134824b8295afa0048a278,null,"$598,765 ",-,-,1-Oct,-,Alien vs. Predator,2004,IN
66134824b8295afa0048a279,null,"$566,764 ",-,-,13-Aug,-,"I, Robot",2004,IN
66134824b8295afa0048a27a,null,"$504,719 ",-,-,24-Sep,-,The Terminal,2004,IN
66134824b8295afa0048a27b,null,"$496,291 ",-,-,24-Dec,-,Raincoat,2004,IN
66134824b8295afa0048a27c,null,"$458,515 ",-,-,9-Jul,-,Walking Tall,2004,IN
66134824b8295afa0048a27d,null,"$333,164 ",-,-,20-Aug,-,Shrek 2,2004,IN
66134824b8295afa0048a27e,null,"$328,954 ",-,-,10-Sep,-,The Bourne Supremacy,2004,IN
66134824b8295afa0048a27f,null,"$256,083 ",-,-,9-Apr,-,50 First Dates,2004,IN
66134824b8295afa0048a280,null,"$244,118 ",-,-,8-Oct,-,Collateral,2004,IN
66134824b8295afa0048a281,null,"$225,800 ",-,-,9-Dec,-,Ocean's Twelve,2004,IN
66134824b8295afa0048a282,null,"$201,243 ",-,-,16-Jan,-,Master and Commander: The Far Side of the World,2004,IN
66134824b8295afa0048a283,null,"$199,636 ",-,-,2-Jan,-,Ishq Hai Tumse,2004,IN
66134824b8295afa0048a284,null,"$197,966 ",-,-,7-May,-,The Passion of the Christ,2004,IN
66134824b8295afa0048a285,null,"$192,796 ",-,-,5-Nov,-,Garfield: The Movie,2004,IN
66134824b8295afa0048a286,null,"$147,022 ",-,-,19-Nov,-,Shark Tale,2004,IN
66134824b8295afa0048a287,null,"$132,433 ",-,-,3-Dec,-,Bridget Jones: The Edge of Reason,2004,IN
66134824b8295afa0048a288,null,"$110,963 ",-,-,9-Apr,-,Along Came Polly,2004,IN
66134824b8295afa0048a289,null,"$72,804 ",-,-,3-Sep,-,Man on Fire,2004,IN
66134824b8295afa0048a28a,null,"$67,340 ",-,-,5-Mar,-,Paycheck,2004,IN
66134824b8295afa0048a28b,null,"$58,576 ",-,-,3-Sep,-,Mean Girls,2004,IN
66134824b8295afa0048a28c,null,"$55,265 ",-,-,6-Aug,-,The Chronicles of Riddick,2004,IN
66134824b8295afa0048a28d,null,"$54,248 ",-,-,29-Oct,-,13 Going on 30,2004,IN
66134824b8295afa0048a28e,null,"$51,283 ",-,-,17-Sep,-,Dodgeball: A True Underdog Story,2004,IN
66134824b8295afa0048a28f,null,"$51,122 ",-,-,26-Mar,-,Big Fish,2004,IN
66134824b8295afa0048a290,null,"$45,937 ",-,-,20-Feb,-,School of Rock,2004,IN
66134824b8295afa0048a291,null,"$25,390 ",-,-,31-Dec,-,Sky Captain and the World of Tomorrow,2004,IN
66134824b8295afa0048a292,null,"$16,292 ",-,-,23-Apr,-,Secret Window,2004,IN
66134824b8295afa0048a293,null,"$14,695 ",-,-,31-Dec,-,The Forgotten,2004,IN
66134824b8295afa0048a294,null,"$11,012 ",-,-,8-Oct,-,White Chicks,2004,IN
66134824b8295afa0048a295,null,"$10,938 ",-,-,28-May,-,Garam Dukaan,2004,IN
66134824b8295afa0048a296,null,"$10,109 ",-,-,18-Jun,-,Dawn of the Dead,2004,IN
66134824b8295afa0048a297,null,"$4,460 ",-,-,24-Dec,-,Christmas with the Kranks,2004,IN
