_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
66134515068e2ab147e270db,null,"$94,103,715 ",-,-,8-Jul,-,Mission: Impossible II,2000,JP
66134515068e2ab147e270dc,null,"$16,916,071 ",-,-,7-Oct,-,X-Men,2000,JP
66134515068e2ab147e270dd,"[ ""United International Pictures"" ]","$15,486,406 ",-,-,17-Jun,-,Gladiator,2000,JP
66134515068e2ab147e270de,null,"$230,496,084 ",230,-,27-Jul,-,Spirited Away,2001,JP
66134515068e2ab147e270df,null,"$152,993,493 ",586,-,1-Dec,-,Harry Potter and the Sorcerer's Stone,2001,JP
66134515068e2ab147e270e0,null,"$41,288,913 ",-,-,11-Aug,-,Jurassic Park III,2001,JP
66134515068e2ab147e270e1,null,"$30,174,149 ",-,-,9-Jun,-,The Mummy Returns,2001,JP
66134515068e2ab147e270e2,"[ ""Paramount Pictures International"" ]","$28,494,336 ",-,-,24-Feb,-,Cast Away,2001,JP
66134515068e2ab147e270e3,null,"$24,768,144 ",316,-,21-Dec,-,Vanilla Sky,2001,JP
66134515068e2ab147e270e4,null,"$21,444,178 ",-,-,6-Oct,-,Lara Croft: Tomb Raider,2001,JP
66134515068e2ab147e270e5,null,"$18,623,382 ",278,-,15-Dec,-,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,JP
66134515068e2ab147e270e6,null,"$18,055,730 ",439,-,15-Dec,-,Shrek,2001,JP
66134515068e2ab147e270e7,null,"$10,539,779 ",253,-,14-Dec,-,Inuyasha the Movie: Affections Touching Across Time,2001,JP
66134515068e2ab147e270e8,null,"$8,834,890 ",413,-,7-Dec,-,Atlantis: The Lost Empire,2001,JP
66134515068e2ab147e270e9,null,"$7,224,752 ",157,-,17-Nov,-,Moulin Rouge!,2001,JP
66134515068e2ab147e270ea,null,"$5,322,893 ",17,-,15-Dec,-,Sennen no koi - Hikaru Genji monogatari,2001,JP
66134515068e2ab147e270eb,null,"$3,803,718 ",213,-,28-Dec,-,Bandits,2001,JP
66134515068e2ab147e270ec,null,"$1,581,586 ",-,-,20-Jan,-,Final Destination,2001,JP
66134515068e2ab147e270ed,"[ ""Toho Company"" ]","$190,000,000 ",450,448,20-Nov,"$13,998,152 ",Howl's Moving Castle,2004,JP
66134515068e2ab147e270ee,"[ ""Warner Bros."" ]","$121,600,000 ",792,-,26-Jun,-,Harry Potter and the Prisoner of Azkaban,2004,JP
66134515068e2ab147e270ef,null,"$94,966,172 ",738,729,14-Feb,"$14,676,989 ",The Lord of the Rings: The Return of the King,2004,JP
66134515068e2ab147e270f0,"[ ""Toho Company"" ]","$72,719,040 ",271,269,8-May,"$5,544,671 ",Crying Out Love in the Center of the World,2004,JP
66134515068e2ab147e270f1,"[ ""Sony Pictures Releasing"" ]","$59,587,229 ",696,696,10-Jul,"$10,045,607 ",Spider-Man 2,2004,JP
