_id,year,title,gross_box_office,max_theater,open_theater,open_week,opening,Distributor,Domestic
66134b3dab14b5df5ef91cd7,2000,Mission: Impossible II,"$13,164,272 ",-,-,1-Jun,-,null,AU
66134b3dab14b5df5ef91cd8,2000,American Beauty,"$12,253,693 ",-,-,26-Jan,-,null,AU
66134b3dab14b5df5ef91cd9,2000,Meet the Parents,"$11,549,612 ",267,266,26-Dec,"$2,814,991 ",null,AU
66134b3dab14b5df5ef91cda,2000,Charlie's Angels,"$10,176,579 ",296,-,23-Nov,-,null,AU
66134b3dab14b5df5ef91cdb,2000,The Dish,"$9,583,391 ",189,-,19-Oct,-,"[ ""Roadshow Films"" ]",AU
66134b3dab14b5df5ef91cdc,2000,Chicken Run,"$8,487,916 ",296,296,7-Dec,"$1,119,345 ",null,AU
66134b3dab14b5df5ef91cdd,2000,X-Men,"$6,481,541 ",-,-,13-Jul,-,null,AU
66134b3dab14b5df5ef91cde,2000,Vertical Limit,"$5,846,878 ",239,-,22-Dec,-,null,AU
66134b3dab14b5df5ef91cdf,2000,102 Dalmatians,"$5,806,633 ",257,-,22-Dec,-,null,AU
66134b3dab14b5df5ef91ce0,2000,Unbreakable,"$4,836,192 ",243,-,30-Nov,-,null,AU
66134b3dab14b5df5ef91ce1,2000,What Lies Beneath,"$4,651,385 ",169,-,2-Nov,-,null,AU
66134b3dab14b5df5ef91ce2,2000,Billy Elliot,"$3,384,423 ",152,-,2-Nov,-,null,AU
66134b3dab14b5df5ef91ce3,2000,Bring It On,"$3,320,888 ",154,127,14-Dec,"$751,800 ",null,AU
66134b3dab14b5df5ef91ce4,2000,Nutty Professor II: The Klumps,"$2,976,807 ",226,226,14-Dec,"$801,899 ",null,AU
66134b3dab14b5df5ef91ce5,2000,Shaft,"$2,848,689 ",20,-,26-Oct,-,null,AU
66134b3dab14b5df5ef91ce6,2000,Snatch,"$2,838,620 ",101,-,9-Nov,-,null,AU
66134b3dab14b5df5ef91ce7,2000,Little Nicky,"$1,794,298 ",179,-,22-Dec,-,null,AU
66134b3dab14b5df5ef91ce8,2000,Final Destination,"$1,706,462 ",-,-,13-Apr,-,null,AU
66134b3dab14b5df5ef91ce9,2000,The Cell,"$1,552,295 ",67,-,16-Nov,-,null,AU
66134b3dab14b5df5ef91cea,2000,Fantasia 2000,"$1,160,024 ",5,-,1-Jun,-,null,AU
66134b3dab14b5df5ef91ceb,2000,"O Brother, Where Art Thou?","$1,032,108 ",41,-,22-Dec,-,null,AU
66134b3dab14b5df5ef91cec,2000,Saving Grace,"$922,219 ",23,-,12-Oct,-,null,AU
66134b3dab14b5df5ef91ced,2000,The Replacements,"$738,417 ",9,-,9-Nov,-,null,AU
66134b3dab14b5df5ef91cee,2000,Himalaya,"$725,093 ",14,-,22-Dec,-,null,AU
66134b3dab14b5df5ef91cef,2000,Autumn in New York,"$602,831 ",77,-,23-Nov,-,null,AU
66134b3dab14b5df5ef91cf0,2000,Better Than Sex,"$593,140 ",32,-,9-Nov,-,null,AU
