_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
66134a2b95787102fc9828a3,null,"$30,000,000 ",-,-,19-Dec,-,Hero,2002,CN
66134a2b95787102fc9828a4,null,"$5,488,408 ",-,-,12-Jul,-,Star Wars: Episode II - Attack of the Clones,2002,CN
66134a2b95787102fc9828a5,null,$0 ,-,-,18-Jun,-,E.T. the Extra-Terrestrial,2002,CN
66134a2b95787102fc9828a6,null,$0 ,-,-,11-Apr,-,The Lord of the Rings: The Fellowship of the Ring,2002,CN
66134a2b95787102fc9828a7,null,$0 ,-,-,21-Nov,-,The Bourne Identity,2002,CN
66134a2b95787102fc9828a8,null,$0 ,-,-,30-Sep,-,Ice Age,2002,CN
66134a2b95787102fc9828a9,null,$0 ,-,-,7-Aug,-,Spider-Man,2002,CN
66134a2b95787102fc9828aa,null,"$68,670,540 ",-,-,13-Nov,-,2012,2009,CN
66134a2b95787102fc9828ab,null,"$65,837,290 ",-,-,24-Jun,-,Transformers: Revenge of the Fallen,2009,CN
66134a2b95787102fc9828ac,null,"$38,043,199 ",-,-,7-Jan,-,Red Cliff II,2009,CN
66134a2b95787102fc9828ad,null,"$15,844,273 ",-,-,20-Jan,-,Crazy Racer,2009,CN
66134a2b95787102fc9828ae,null,"$14,938,886 ",-,-,26-Jan,-,Look for a Star,2009,CN
66134a2b95787102fc9828af,null,"$12,031,621 ",-,-,24-Jul,-,"McDull, Kung Fu Kindergarten",2009,CN
66134a2b95787102fc9828b0,null,"$11,043,191 ",-,-,16-Jan,-,Pleasant Goat and Big Big Wolf,2009,CN
66134a2b95787102fc9828b1,null,"$8,916,639 ",-,-,15-May,-,Star Trek,2009,CN
66134a2b95787102fc9828b2,null,"$8,556,760 ",-,-,12-Feb,-,Transporter 3,2009,CN
66134a2b95787102fc9828b3,null,"$8,374,867 ",-,-,26-Feb,-,Valkyrie,2009,CN
66134a2b95787102fc9828b4,null,"$7,936,392 ",-,-,14-Mar,-,Dragonball Evolution,2009,CN
66134a2b95787102fc9828b5,null,"$6,800,000 ",-,-,28-Oct,-,This Is It,2009,CN
66134a2b95787102fc9828b6,null,"$5,278,943 ",-,-,1-Jan,-,Madagascar: Escape 2 Africa,2009,CN
66134a2b95787102fc9828b7,null,"$4,530,375 ",-,-,22-Jan,-,"All's Well, Ends Well 2009",2009,CN
66134a2b95787102fc9828b8,null,"$3,712,419 ",-,-,5-Mar,-,Two Worlds,2009,CN
66134a2b95787102fc9828b9,null,"$2,909,204 ",-,-,14-Feb,-,Cape No. 7,2009,CN
66134a2b95787102fc9828ba,null,"$2,774,168 ",-,-,4-Feb,-,Gao xing,2009,CN
66134a2b95787102fc9828bb,null,"$2,758,816 ",-,-,13-Feb,-,Give Love,2009,CN
66134a2b95787102fc9828bc,null,"$2,620,617 ",-,-,3-Feb,-,Black Book,2009,CN
66134a2b95787102fc9828bd,null,"$2,402,985 ",-,-,28-Jan,-,Australia,2009,CN
66134a2b95787102fc9828be,null,"$2,280,068 ",-,-,26-Mar,-,Slumdog Millionaire,2009,CN
66134a2b95787102fc9828bf,null,"$2,250,837 ",-,-,20-Mar,-,Alone in the Dark,2009,CN
66134a2b95787102fc9828c0,null,"$2,016,984 ",-,-,6-Mar,-,Skalolazka i posledniy iz sedmoy kolybeli,2009,CN
66134a2b95787102fc9828c1,null,"$1,169,266 ",-,-,27-Mar,-,Ashes of Time,2009,CN
66134a2b95787102fc9828c2,null,"$686,355 ",-,-,26-Jan,-,Bridge to Terabithia,2009,CN
66134a2b95787102fc9828c3,null,"$613,344 ",-,-,26-Jan,-,10 Promises to My Dog,2009,CN
66134a2b95787102fc9828c4,null,"$438,808 ",-,-,6-Mar,-,Claustrophobia,2009,CN
66134a2b95787102fc9828c5,null,"$262,816 ",-,-,20-Feb,-,Irreversi,2009,CN
66134a2b95787102fc9828c6,null,"$218,988 ",-,-,23-Jan,-,August Rush,2009,CN
66134a2b95787102fc9828c7,null,"$189,812 ",-,-,15-Feb,-,Xi Zang Jin Xi,2009,CN
66134a2b95787102fc9828c8,null,"$175,441 ",-,-,5-Mar,-,Evening of Roses,2009,CN
66134a2b95787102fc9828c9,null,"$160,633 ",-,-,6-Mar,-,24 City,2009,CN
66134a2b95787102fc9828ca,null,"$145,992 ",-,-,20-Jan,-,Tao qi bao ma xiao tiao,2009,CN
66134a2b95787102fc9828cb,null,"$131,393 ",-,-,16-Jan,-,Donkey Xote,2009,CN
66134a2b95787102fc9828cc,null,"$87,685 ",-,-,6-Feb,-,The Valet,2009,CN
66134a2b95787102fc9828cd,null,"$43,881 ",-,-,20-Mar,-,Basic Love,2009,CN
66134a2b95787102fc9828ce,null,"$32,911 ",-,-,20-Mar,-,Ye Zhu Zou Ming Qu,2009,CN
66134a2b95787102fc9828cf,null,"$5,840 ",-,-,12-Feb,-,Lemonade,2009,CN
66134a2b95787102fc9828d0,null,"$3,453,141 ",-,-,21-Aug,-,Mission: Impossible II,2000,CN
66134a2b95787102fc9828d1,"[ ""United International Pictures"" ]","$3,376,447 ",-,-,5-Aug,-,Gladiator,2000,C[
66134a2b95787102fc9828d2,null,"$3,477,429 ",-,-,11-Oct,-,The Mummy Returns,2001,CN
66134a2b95787102fc9828d3,null,"$2,137,721 ",-,-,26-Oct,-,Lara Croft: Tomb Raider,2001,CN
66134a2b95787102fc9828d4,null,"$1,294,898 ",-,-,15-Dec,-,Moulin Rouge!,2001,CN
66134a2b95787102fc9828d5,null,"$849,069 ",-,-,31-Dec,-,Shrek,2001,CN
66134a2b95787102fc9828d6,null,"$18,000,000 ",-,-,15-Dec,-,The Promise,2005,CN
66134a2b95787102fc9828d7,null,"$11,500,000 ",-,-,18-Nov,-,Harry Potter and the Goblet of Fire,2005,CN
66134a2b95787102fc9828d8,null,"$9,128,645 ",-,-,20-May,-,Star Wars: Episode III - Revenge of the Sith,2005,CN
66134a2b95787102fc9828d9,null,"$7,508,590 ",-,-,8-Jul,-,Mr. & Mrs. Smith,2005,CN
66134a2b95787102fc9828db,null,"$6,546,031 ",-,-,25-Aug,-,War of the Worlds,2005,CN
66134a2b95787102fc9828dc,null,"$3,773,735 ",-,-,28-Oct,-,The Legend of Zorro,2005,CN
66134a2b95787102fc9828da,null,"$2,989,677 ",-,-,26-Apr,-,The Lord of the Rings: The Two Towers,2003,CN
66134a2b95787102fc9828de,null,"$3,399,000 ",-,-,15-Jul,-,Madagascar,2005,CN
66134a2b95787102fc9828dd,"[ ""Xin Huamian Film"" ]","$37,471,028 ",-,-,11-Dec,-,Curse of the Golden Flower,2006,CN
66134a2b95787102fc9828df,null,"$2,108,767 ",-,-,28-Nov,-,The Italian Job,2003,CN
66134a2b95787102fc9828e0,null,"$16,600,000 ",-,-,15-Sep,-,The Banquet,2006,CN
66134a2b95787102fc9828e1,null,"$3,049,029 ",-,-,22-Apr,-,The Interpreter,2005,CN
66134a2b95787102fc9828e2,null,"$1,361,040 ",-,-,27-Jun,-,The Core,2003,CN
66134a2b95787102fc9828e3,null,"$13,206,121 ",-,-,19-May,-,The Da Vinci Code,2006,CN
66134a2b95787102fc9828e4,null,"$3,032,810 ",-,-,4-Feb,-,Anacondas: The Hunt for the Blood Orchid,2005,CN
66134a2b95787102fc9828e5,null,"$1,262,377 ",-,-,11-Apr,-,Catch Me If You Can,2003,CN
66134a2b95787102fc9828e6,null,"$12,900,000 ",-,-,26-Jan,-,Fearless,2006,CN
66134a2b95787102fc9828e7,null,"$2,505,427 ",-,-,29-Sep,-,Fantastic Four,2005,CN
66134a2b95787102fc9828e8,null,"$1,072,098 ",-,-,19-Sep,-,X2,2003,CN
66134a2b95787102fc9828e9,null,"$12,684,023 ",-,-,12-Jan,-,King Kong,2006,CN
66134a2b95787102fc9828ea,null,"$10,161,479 ",-,-,20-Jul,-,Mission: Impossible III,2006,CN
66134a2b95787102fc9828eb,null,"$202,519 ",-,-,29-Oct,-,Freddy vs. Jason,2003,CN
66134a2b95787102fc9828ec,null,"$2,436,417 ",-,-,1-Apr,-,Taxi,2005,CN
66134a2b95787102fc9828ed,null,$0 ,-,-,8-Oct,-,Hulk,2003,CN
66134a2b95787102fc9828ee,null,"$9,541,544 ",-,-,19-Dec,-,Confession of Pain,2006,CN
66134a2b95787102fc9828ef,null,"$1,938,000 ",-,-,29-Apr,-,Shark Tale,2005,CN
66134a2b95787102fc9828f0,null,$0 ,-,-,11-Sep,-,Johnny English,2003,CN
66134a2b95787102fc9828f1,null,"$8,800,000 ",-,-,2-Jun,-,Poseidon,2006,CN
66134a2b95787102fc9828f2,null,"$1,656,109 ",-,-,17-Jun,-,xXx: State of the Union,2005,CN
66134a2b95787102fc9828f3,null,"$8,000,000 ",-,-,11-Jul,-,Superman Returns,2006,CN
66134a2b95787102fc9828f4,null,"$1,049,000 ",-,-,1-Jul,-,Batman Begins,2005,CN
66134a2b95787102fc9828f5,null,"$7,800,000 ",-,-,8-Mar,-,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006,CN
66134a2b95787102fc9828f6,null,"$250,941 ",-,-,11-Feb,-,Wimbledon,2005,CN
66134a2b95787102fc9828f7,null,"$7,214,236 ",-,-,11-Aug,-,Garfield: A Tail of Two Kitties,2006,CN
66134a2b95787102fc9828f8,null,$0 ,-,-,8-Sep,-,Stealth,2005,CN
66134a2b95787102fc9828f9,null,"$6,600,000 ",-,-,28-Jul,-,Dragon Tiger Gate,2006,CN
66134a2b95787102fc9828fa,null,"$4,550,647 ",-,-,9-Jun,-,Ice Age: The Meltdown,2006,CN
66134a2b95787102fc9828fb,null,$0 ,-,-,10-Feb,-,Thunderbirds,2005,CN
66134a2b95787102fc9828fc,null,$0 ,-,-,28-Apr,-,Flight of the Phoenix,2005,CN
66134a2b95787102fc9828fd,null,"$4,100,000 ",-,-,1-Dec,-,The Knot,2006,CN
66134a2b95787102fc9828fe,null,"$3,763,495 ",-,-,1-Nov,-,Miami Vice,2006,CN
66134a2b95787102fc9828ff,null,"$3,751,032 ",-,-,14-Feb,-,Transporter 2,2006,CN
66134a2b95787102fc982900,null,"$2,920,958 ",-,-,11-Aug,-,When a Stranger Calls,2006,CN
66134a2b95787102fc982901,null,"$2,901,627 ",-,-,10-Nov,-,World Trade Center,2006,CN
66134a2b95787102fc982902,null,"$2,789,357 ",-,-,11-May,-,The Sentinel,2006,CN
66134a2b95787102fc982903,null,"$2,657,186 ",-,-,8-Sep,-,X-Men: The Last Stand,2006,CN
66134a2b95787102fc982904,"[ ""Huaxia Film Distribution"" ]","$2,054,707 ",-,-,28-Dec,-,Big Film,2006,CN
66134a2b95787102fc982905,null,"$2,034,083 ",-,-,29-Sep,-,Open Season,2006,CN
66134a2b95787102fc982906,null,"$863,115 ",-,-,30-Jun,-,Bandidas,2006,CN
66134a2b95787102fc982907,null,"$708,215 ",-,-,19-Dec,-,Racing Stripes,2006,CN
66134a2b95787102fc982908,"[ ""China Film Group Corporation (CFGC)"" ]","$384,256 ",-,-,28-Dec,-,The Painted Veil,2006,CN
66134a2b95787102fc982909,null,"$76,733 ",-,-,23-Dec,-,Lethal Angels,2006,CN
66134a2b95787102fc98290a,null,"$7,439 ",-,-,1-Dec,-,Step Up,2006,CN
66134a2b95787102fc98290b,null,"$18,952,265 ",-,-,23-Dec,-,Kung Fu Hustle,2004,CN
66134a2b95787102fc98290c,null,"$10,427,541 ",-,-,12-Mar,-,The Lord of the Rings: The Return of the King,2004,CN
66134a2b95787102fc98290d,null,"$10,000,000 ",-,-,14-Jul,-,House of Flying Daggers,2004,CN
66134a2b95787102fc98290e,null,"$9,839,826 ",-,-,28-May,-,The Day After Tomorrow,2004,CN
66134a2b95787102fc98290f,null,"$6,102,882 ",-,-,5-Aug,-,Spider-Man 2,2004,CN
66134a2b95787102fc982910,null,"$4,100,000 ",-,-,13-May,-,Troy,2004,CN
66134a2b95787102fc982911,null,"$2,600,723 ",-,-,17-Dec,-,Garfield: The Movie,2004,CN
66134a2b95787102fc982912,null,"$2,500,000 ",-,-,10-Sep,-,Harry Potter and the Prisoner of Azkaban,2004,CN
66134a2b95787102fc982913,null,"$2,454,581 ",-,-,23-Jan,-,Master and Commander: The Far Side of the World,2004,CN
66134a2b95787102fc982914,null,"$2,299,673 ",-,-,14-Oct,-,Yesterday Once More,2004,CN
66134a2b95787102fc982915,null,"$1,809,631 ",-,-,14-Nov,-,The Bourne Supremacy,2004,CN
66134a2b95787102fc982916,null,"$1,662,020 ",-,-,26-Nov,-,"I, Robot",2004,CN
66134a2b95787102fc982917,null,"$1,600,000 ",-,-,19-Mar,-,The Passion of the Christ,2004,CN
66134a2b95787102fc982918,null,"$1,498,663 ",-,-,13-Aug,-,Shrek 2,2004,CN
