_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
66134644ebd07e2a8d14daff,"[ ""Walt Disney Pictures"" ]","$40,407,867 ",-,-,5-Jan,-,The Sixth Sense,2000,FR
66134644ebd07e2a8d14db00,"[ ""Walt Disney Pictures"" ]","$24,765,813 ",-,-,2-Feb,-,Toy Story 2,2000,FR
66134644ebd07e2a8d14db01,"[ ""United International Pictures"" ]","$24,460,317 ",-,-,20-Jun,-,Gladiator,2000,FR
66134644ebd07e2a8d14db02,null,"$21,826,757 ",-,-,26-Jul,-,Mission: Impossible II,2000,FR
66134644ebd07e2a8d14db03,null,"$16,676,777 ",-,-,2-Feb,-,American Beauty,2000,FR
66134644ebd07e2a8d14db04,"[ ""Universal Pictures International (UPI)"" ]","$11,697,269 ",-,-,20-Dec,-,Billy Elliot,2000,FR
66134644ebd07e2a8d14db05,null,"$9,426,024 ",-,-,16-Aug,-,X-Men,2000,FR
66134644ebd07e2a8d14db06,null,"$4,022,930 ",-,-,12-Jul,-,Final Destination,2000,FR
66134644ebd07e2a8d14db07,"[ ""Walt Disney Pictures"" ]","$2,557,794 ",-,-,30-Aug,-,"O Brother, Where Art Thou?",2000,FR
66134644ebd07e2a8d14db08,"[ ""Buena Vista International"" ]","$53,790,055 ",511,-,28-Jul,-,Home on the Range,2004,FR
66134644ebd07e2a8d14db09,"[ ""United International Pictures"" ]","$50,966,511 ",906,-,23-Jun,-,Shrek 2,2004,FR
66134644ebd07e2a8d14db0a,"[ ""Pathé"" ]","$48,765,590 ",572,-,17-Mar,-,The Chorus,2004,FR
66134644ebd07e2a8d14db0b,"[ ""Warner Bros."" ]","$46,969,203 ",907,-,3-Jun,-,Harry Potter and the Prisoner of Azkaban,2004,FR
66134644ebd07e2a8d14db0c,"[ ""Buena Vista International"" ]","$40,913,982 ",960,-,24-Nov,-,The Incredibles,2004,FR
66134644ebd07e2a8d14db0d,"[ ""Gaumont"" ]","$40,240,290 ",880,-,14-Jul,-,Spider-Man 2,2004,FR
66134644ebd07e2a8d14db0e,"[ ""Warner Bros."" ]","$31,380,114 ",711,-,28-Oct,-,A Very Long Engagement,2004,FR
66134644ebd07e2a8d14db0f,null,"$24,511,116 ",644,-,11-Feb,-,Podium,2004,FR
66134644ebd07e2a8d14db10,null,"$24,240,164 ",795,-,28-Jan,-,Brother Bear,2004,FR
66134644ebd07e2a8d14db11,"[ ""United International Pictures"" ]","$22,215,827 ",689,-,13-Oct,-,Shark Tale,2004,FR
66134644ebd07e2a8d14db12,null,"$21,800,466 ",739,-,7-Apr,-,Two Brothers,2004,FR
66134644ebd07e2a8d14db13,null,"$20,537,839 ",502,-,4-Feb,-,The 11 Commandments,2004,FR
66134644ebd07e2a8d14db14,"[ ""UGC-Fox Distribution (UFD)"" ]","$17,860,809 ",727,-,26-May,-,The Day After Tomorrow,2004,FR
66134644ebd07e2a8d14db15,null,"$17,767,821 ",743,-,12-May,-,Troy,2004,FR
66134644ebd07e2a8d14db16,"[ ""Gaumont"" ]","$17,755,607 ",507,-,12-Oct,-,The Corsican File,2004,FR
66134644ebd07e2a8d14db17,"[ ""Mars Distribution"" ]","$16,056,988 ",432,-,7-Jul,-,Fahrenheit 9/11,2004,FR
66134644ebd07e2a8d14db18,"[ ""Buena Vista International"" ]","$15,971,004 ",576,-,18-Aug,-,The Village,2004,FR
