_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
661346e97b534fb05ff9388c,"[ ""United International Pictures"" ]","$12,536,779 ",-,-,19-May,-,Gladiator,2000,IT
661346e97b534fb05ff9388d,null,"$11,526,238 ",-,-,7-Jul,-,Mission: Impossible II,2000,IT
661346e97b534fb05ff9388e,"[ ""Walt Disney Pictures"" ]","$6,997,498 ",-,-,11-Feb,-,Toy Story 2,2000,IT
661346e97b534fb05ff9388f,null,"$4,188,346 ",-,-,27-Oct,-,X-Men,2000,IT
661346e97b534fb05ff93890,null,"$3,240,736 ",-,-,25-Aug,-,Final Destination,2000,IT
661346e97b534fb05ff93891,"[ ""Medusa Distribuzione"" ]","$3,037,400 ",1,-,17-Sep,-,The Watcher,2000,IT
661346e97b534fb05ff93892,"[ ""Walt Disney Pictures"" ]","$1,993,353 ",-,-,10-Nov,-,"O Brother, Where Art Thou?",2000,IT
661346e97b534fb05ff93893,null,"$1,059,622 ",3,-,22-Mar,-,Tutto l'amore che c'è,2000,IT
661346e97b534fb05ff93894,"[ ""Warner Bros."" ]","$334,200 ",1,-,4-Feb,-,Rush Hour,2000,IT
661346e97b534fb05ff93895,"[ ""Eagle Pictures"" ]","$15,696 ",1,-,7-Jun,-,American Virgin,2000,IT
661346e97b534fb05ff93896,"[ ""20th Century Fox International"" ]","$5,026 ",1,-,9-Jun,-,Drive Me Crazy,2000,IT
661346e97b534fb05ff93897,null,"$22,224,492 ",302,-,6-Dec,-,Harry Potter and the Sorcerer's Stone,2001,IT
661346e97b534fb05ff93898,null,"$15,751,112 ",315,-,21-Dec,-,Ocean's Eleven,2001,IT
661346e97b534fb05ff93899,"[ ""Paramount Pictures International"" ]","$12,109,606 ",-,-,12-Jan,-,Cast Away,2001,IT
661346e97b534fb05ff9389a,null,"$8,579,972 ",203,-,14-Dec,-,The Prince and the Pirate,2001,IT
661346e97b534fb05ff9389b,null,"$8,367,518 ",197,-,21-Dec,-,From Hell,2001,IT
661346e97b534fb05ff9389c,null,"$8,228,560 ",305,-,21-Dec,-,Merry Christmas,2001,IT
661346e97b534fb05ff9389d,null,"$7,720,589 ",-,-,11-May,-,The Mummy Returns,2001,IT
661346e97b534fb05ff9389e,null,"$6,479,327 ",185,-,14-Dec,-,Spy Game,2001,IT
661346e97b534fb05ff9389f,"[ ""BIM Distribuzione"" ]","$5,792,963 ",1,-,12-Oct,-,Kandahar,2001,IT
661346e97b534fb05ff938a0,"[ ""Universal Pictures International (UPI)"" ]","$5,751,025 ",-,-,23-Feb,-,Billy Elliot,2001,IT
661346e97b534fb05ff938a1,null,"$5,525,525 ",-,-,15-Jun,-,Shrek,2001,IT
661346e97b534fb05ff938a2,null,"$5,079,130 ",112,-,14-Dec,-,Lara Croft: Tomb Raider,2001,IT
661346e97b534fb05ff938a3,null,"$5,016,119 ",234,-,5-Dec,-,Atlantis: The Lost Empire,2001,IT
661346e97b534fb05ff938a4,null,"$4,242,609 ",24,-,28-Sep,-,Moulin Rouge!,2001,IT
661346e97b534fb05ff938a5,"[ ""United International Pictures"" ]","$2,851,994 ",9,-,21-Sep,-,The Fast and the Furious,2001,IT
661346e97b534fb05ff938a6,"[ ""Sony Pictures Releasing"" ]","$2,800,000 ",1,-,9-Nov,-,A Knight's Tale,2001,IT
