_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
6613471551d3d9f7366206ca,"[ ""Independent Films"" ]","$13,725,195 ",-,-,3-Jun,-,Gladiator,2000,KR
6613471551d3d9f7366206cb,null,"$13,587,885 ",-,-,17-Jun,-,Mission: Impossible II,2000,KR
6613471551d3d9f7366206cc,null,"$5,100,836 ",-,-,27-Jul,-,X-Men,2000,KR
6613471551d3d9f7366206cd,null,"$69,590 ",35,-,1-Jan,-,Peppermint Candy,2000,KR
6613471551d3d9f7366206ce,null,"$19,401 ",2,-,29-Sep,-,In the Mood for Love,2000,KR
6613471551d3d9f7366206cf,"[ ""Warner Bros."" ]","$4,614 ",1,-,26-Oct,-,Strange Lady in Town,2000,KR
6613471551d3d9f7366206d0,"[ ""Warner Bros."" ]","$3,543 ",16,-,4-Mar,-,The Talented Mr. Ripley,2000,KR
6613471551d3d9f7366206d1,null,"$3,398 ",1,-,14-Oct,-,The Barber of Siberia,2000,KR
6613471551d3d9f7366206d2,null,"$1,185 ",1,-,19-Oct,-,The Naked Edge,2000,KR
6613471551d3d9f7366206d3,null,"$12,102,404 ",-,-,19-Jun,-,The Mummy Returns,2001,KR
6613471551d3d9f7366206d4,null,"$10,455,458 ",-,-,6-Jul,-,Shrek,2001,KR
6613471551d3d9f7366206d5,"[ ""Universal Pictures International (UPI)"" ]","$7,332,828 ",-,-,3-Feb,-,Cast Away,2001,KR
6613471551d3d9f7366206d6,null,"$5,208,677 ",-,-,26-Oct,-,Moulin Rouge!,2001,KR
6613471551d3d9f7366206d7,null,"$2,000,000 ",-,-,29-Jun,-,Lara Croft: Tomb Raider,2001,KR
6613471551d3d9f7366206d8,null,"$178,710 ",80,-,16-Feb,-,Billy Elliot,2001,KR
6613471551d3d9f7366206d9,"[ ""Warner Bros."" ]","$61,459 ",50,-,28-Sep,-,One Fine Spring Day,2001,KR
6613471551d3d9f7366206da,null,"$35,374 ",1,-,14-Jul,-,The Taste of Others,2001,KR
6613471551d3d9f7366206db,"[ ""Warner Bros."" ]","$6,736 ",1,-,16-Jul,-,Pork Chop Hill,2001,KR
6613471551d3d9f7366206dc,null,"$5,000 ",1,-,30-Nov,-,Mulholland Drive,2001,KR
6613471551d3d9f7366206dd,"[ ""Warner Bros."" ]","$3,867 ",1,-,18-Dec,-,Boy on a Dolphin,2001,KR
6613471551d3d9f7366206de,null,$133 ,1,-,24-Feb,-,Dancer in the Dark,2001,KR
6613471651d3d9f7366206df,null,"$64,800,000 ",-,-,6-Feb,-,Tae Guk Gi: The Brotherhood of War,2004,KR
6613471651d3d9f7366206e0,null,"$20,400,000 ",-,-,20-May,-,Troy,2004,KR
6613471651d3d9f7366206e1,null,"$18,123,377 ",-,-,17-Jun,-,Shrek 2,2004,KR
6613471651d3d9f7366206e2,"[ ""Cinema Service"" ]","$17,605,893 ",208,-,24-Dec,-,Howl's Moving Castle,2004,KR
6613471651d3d9f7366206e3,null,"$16,099,393 ",-,-,4-Jun,-,The Day After Tomorrow,2004,KR
6613471651d3d9f7366206e4,null,"$13,087,756 ",-,-,2-Apr,-,The Passion of the Christ,2004,KR
6613471651d3d9f7366206e5,null,"$13,037,416 ",-,-,30-Jun,-,Spider-Man 2,2004,KR
6613471651d3d9f7366206e6,"[ ""United International Pictures"" ]","$9,462,984 ",99,-,9-Dec,-,Bridget Jones: The Edge of Reason,2004,KR
6613471651d3d9f7366206e7,null,"$9,320,001 ",45,-,15-Jul,-,Harry Potter and the Prisoner of Azkaban,2004,KR
6613471651d3d9f7366206e8,"[ ""Cinema Service"" ]","$9,149,343 ",268,245,31-Dec,"$3,626,453 ",Alexander,2004,KR
6613471651d3d9f7366206e9,null,"$8,835,733 ",-,-,30-Jul,-,"I, Robot",2004,KR
6613471651d3d9f7366206ea,"[ ""CJ Entertainment"" ]","$8,322,052 ",148,-,10-Dec,-,The Phantom of the Opera,2004,KR
6613471651d3d9f7366206eb,"[ ""Sony Pictures Releasing"" ]","$8,048,943 ",160,160,31-Dec,"$2,334,919 ",National Treasure,2004,KR
6613471651d3d9f7366206ec,"[ ""CJ Entertainment"" ]","$7,505,881 ",183,-,6-Dec,-,Rikidozan: A Hero Extraordinary,2004,KR
